178, 0.35654761904762 0.51654964894684 0.122367 0.882648;
179, 0.40535714285714 0.45336008024072 0.0972919 0.852558;
180, 0.39404761904762 0.42828485456369 0.0702106 0.840522;
181, 0.39583333333333 0.42928786359077 0.0591775 0.835506;
182, 0.39345238095238 0.4332998996991 0.0581745 0.83651;
183, 0.36666666666667 0.42928786359077 0.0561685 0.837513;
184, 0.325 0.41825476429288 0.0591775 0.821464;
185, 0.33154761904762 0.41925777331996 0.0481444 0.820461;
186, 0.33988095238095 0.4172517552658 0.0471414 0.817452;
187, 0.3452380952381 0.4172517552658 0.0391174 0.812437;
188, 0.35178571428571 0.4172517552658 0.0361083 0.814443;
189, 0.35833333333333 0.41825476429288 0.0351053 0.815446;
190, 0.31666666666667 0.45536609829488 0.0481444 0.841525;
191, 0.25952380952381 0.55165496489468 0.0832497 0.869609;
192, 0.24642857142857 0.5937813440321 0.100301 0.881645;
193, 0.24107142857143 0.62888665997994 0.116349 0.89669;
194, 0.2375 0.67101303911735 0.129388 0.915747;
195, 0.2297619047619 0.70310932798395 0.141424 0.923771;
196, 0.23035714285714 0.71514543630893 0.181545 0.928786;
197, 0.23035714285714 0.72918756268806 0.193581 0.925777;
198, 0.22797619047619 0.73019057171515 0.203611 0.929789;
199, 0.22678571428571 0.72116349047141 0.202608 0.929789;
200, 0.22678571428571 0.71614844533601 0.205617 0.930792;
201, 0.22797619047619 0.71815446339017 0.22668 0.935807;
202, 0.22857142857143 0.71815446339017 0.261785 0.944835;
203, 0.26607142857143 0.72016048144433 0.259779 0.948847;
204, 0.26547619047619 0.72417251755266 0.268806 0.950853;
205, 0.26071428571429 0.7271815446339 0.259779 0.958877;
206, 0.25833333333333 0.72918756268806 0.243731 0.958877;
207, 0.25833333333333 0.7271815446339 0.235707 0.960883;
208, 0.25833333333333 0.72517552657974 0.231695 0.95988;
209, 0.31547619047619 0.71614844533601 0.251755 0.954865;
210, 0.43035714285714 0.64493480441324 0.230692 0.932798;
211, 0.50178571428571 0.58074222668004 0.230692 0.917753;
212, 0.55119047619048 0.55366098294885 0.209629 0.905717;
213, 0.5922619047619 0.52557673019057 0.151454 0.882648;
